ID,Gender,Age,Extra_Curricular,Study_Hours,Annual_Income,Distance_From_Home,GPA
8867,Male,22,Societies,10,1318792,154,1.76
1316,Female,24,Societies,9,874657,181,3.88
9443,Male,22,Societies,15,1098331,94,1.73
1829,Female,25,No,9,1680585,8,1.29
1989,Male,26,No,7,1361560,122,3.19
7297,Female,25,Societies,5,887824,107,2.42
7447,Male,23,Societies,10,1957325,22,3.05
2018,Male,21,Societies,7,1602856,130,2.14
1136,Female,23,Societies,8,429437,124,2.07
7702,Male,26,Sports,6,536744,81,1.85
1023,Male,26,Societies,5,462201,94,2.8
6989,Female,27,Sports,8,1005638,147,3.09
2508,Male,24,Sports,15,232972,106,3.01
8119,Male,27,Sports,13,1140514,28,3.25
6108,Female,26,Sports,6,869561,45,2.12
8619,Female,27,No,6,161863,25,1.87
2174,Male,21,No,14,1273053,92,2.03
5716,Female,24,Sports,11,1491542,197,1.59
4783,Male,25,No,11,1339798,75,3.74
3689,Male,23,No,15,1062827,76,1.31
1323,Female,25,Societies,8,1235987,99,1.04
2722,Male,25,Societies,7,1066063,166,3.45
9351,Female,26,No,10,104878,134,2.77
2915,Male,22,Sports,9,1187517,25,3.39
1290,Male,23,Societies,8,1177391,193,3.87
3972,Female,24,Sports,13,1928172,177,2.6
3141,Male,27,Societies,13,377864,164,1.85
2651,Female,24,Sports,11,1650440,137,3.65
3943,Female,27,Sports,10,191597,94,1.66
6196,Female,26,Sports,10,1278585,167,1.47
2506,Female,23,Sports,6,1584479,23,3.28
5164,Female,23,Societies,7,202149,48,3.16
3936,Male,22,Sports,8,1651044,13,3.59
3544,Male,24,Societies,10,1247659,23,3.1
3406,Male,27,Societies,9,1382781,131,1.7
9794,Female,23,No,9,641063,127,3.01
4439,Female,23,No,12,1191028,167,3.58
8066,Male,22,No,14,1198626,88,3.96
1442,Female,25,Sports,13,555830,200,1.45
7144,Male,26,Sports,9,1419554,155,2.7
7329,Female,22,Societies,15,1750277,159,1.83
2079,Female,27,No,11,254073,179,1.03
1692,Female,23,No,10,1995893,128,3.26
3119,Female,25,Societies,9,160743,43,2.11
3506,Female,23,No,7,1453692,104,3.26
2378,Female,22,Sports,11,1737307,101,1.33
8577,Female,27,Sports,12,568746,92,3.07
9565,Female,24,No,6,1348438,8,1.72
4104,Male,21,No,8,1445685,109,1.49
3482,Female,24,Sports,7,105765,125,2.61
5184,Male,21,Sports,15,675637,72,3.49
6606,Male,22,No,13,1361036,28,1.68
4742,Female,25,Sports,5,625211,136,2.93
9005,Female,22,No,9,552654,87,2.9
4823,Female,26,Sports,8,828072,15,3.86
9277,Female,23,Societies,6,1909998,114,1.03
9257,Male,24,No,6,490894,51,1.84
1873,Female,21,No,12,1483888,133,3.73
9706,Female,25,No,12,1340667,80,3.92
7645,Female,22,No,15,426564,133,3.35
2251,Male,27,Sports,5,1700583,113,2.65
7392,Male,21,Sports,11,283829,149,2.73
