Id,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1001,5.1,3.5,1.4,0.2,setosa
1002,4.9,3,1.4,0.2,setosa
1003,4.7,3.2,1.3,0.2,setosa
1004,4.6,3.1,1.5,0.2,setosa
1005,5,3.6,1.4,0.2,setosa
1006,5.4,3.9,1.7,0.4,setosa
1007,4.6,3.4,1.4,0.3,setosa
1008,5,3.4,1.5,0.2,setosa
1009,4.4,2.9,1.4,0.2,setosa
1010,4.9,3.1,1.5,0.1,setosa
1011,5.4,3.7,1.5,0.2,setosa
1012,4.8,3.4,1.6,0.2,setosa
1013,4.8,3,1.4,0.1,setosa
1014,4.3,3,1.1,0.1,setosa
1015,5.8,4,1.2,0.2,setosa
1016,5.7,4.4,1.5,0.4,setosa
1017,5.4,3.9,1.3,0.4,setosa
1018,5.1,3.5,1.4,0.3,setosa
1019,5.7,3.8,1.7,0.3,setosa
1020,5.1,3.8,1.5,0.3,setosa
1021,5.4,3.4,1.7,0.2,setosa
1022,5.1,3.7,1.5,0.4,setosa
1023,4.6,3.6,1,0.2,setosa
1024,5.1,3.3,1.7,0.5,setosa
1025,4.8,3.4,1.9,0.2,setosa
1026,5,3,1.6,0.2,setosa
1027,5,3.4,1.6,0.4,setosa
1028,5.2,3.5,1.5,0.2,setosa
1029,5.2,3.4,1.4,0.2,setosa
1030,4.7,3.2,1.6,0.2,setosa
1031,4.8,3.1,1.6,0.2,setosa
1032,5.4,3.4,1.5,0.4,setosa
1033,5.2,4.1,1.5,0.1,setosa
1034,5.5,4.2,1.4,0.2,setosa
1035,4.9,3.1,1.5,0.2,setosa
1036,5,3.2,1.2,0.2,setosa
1037,5.5,3.5,1.3,0.2,setosa
1038,4.9,3.6,1.4,0.1,setosa
1039,4.4,3,1.3,0.2,setosa
1040,5.1,3.4,1.5,0.2,setosa
1041,5,3.5,1.3,0.3,setosa
1042,4.5,2.3,1.3,0.3,setosa
1043,4.4,3.2,1.3,0.2,setosa
1044,5,3.5,1.6,0.6,setosa
1045,5.1,3.8,1.9,0.4,setosa
1046,4.8,3,1.4,0.3,setosa
1047,5.1,3.8,1.6,0.2,setosa
1048,4.6,3.2,1.4,0.2,setosa
1049,5.3,3.7,1.5,0.2,setosa
1050,5,3.3,1.4,0.2,setosa
1051,7,3.2,4.7,1.4,versicolor
1052,6.4,3.2,4.5,1.5,versicolor
1053,6.9,3.1,4.9,1.5,versicolor
1054,5.5,2.3,4,1.3,versicolor
1055,6.5,2.8,4.6,1.5,versicolor
1056,5.7,2.8,4.5,1.3,versicolor
1057,6.3,3.3,4.7,1.6,versicolor
1058,4.9,2.4,3.3,1,versicolor
1059,6.6,2.9,4.6,1.3,versicolor
1060,5.2,2.7,3.9,1.4,versicolor
1061,5,2,3.5,1,versicolor
1062,5.9,3,4.2,1.5,versicolor
1063,6,2.2,4,1,versicolor
1064,6.1,2.9,4.7,1.4,versicolor
1065,5.6,2.9,3.6,1.3,versicolor
1066,6.7,3.1,4.4,1.4,versicolor
1067,5.6,3,4.5,1.5,versicolor
1068,5.8,2.7,4.1,1,versicolor
1069,6.2,2.2,4.5,1.5,versicolor
1070,5.6,2.5,3.9,1.1,versicolor
1071,5.9,3.2,4.8,1.8,versicolor
1072,6.1,2.8,4,1.3,versicolor
1073,6.3,2.5,4.9,1.5,versicolor
1074,6.1,2.8,4.7,1.2,versicolor
1075,6.4,2.9,4.3,1.3,versicolor
1076,6.6,3,4.4,1.4,versicolor
1077,6.8,2.8,4.8,1.4,versicolor
1078,6.7,3,5,1.7,versicolor
1079,6,2.9,4.5,1.5,versicolor
1080,5.7,2.6,3.5,1,versicolor
1081,5.5,2.4,3.8,1.1,versicolor
1082,5.5,2.4,3.7,1,versicolor
1083,5.8,2.7,3.9,1.2,versicolor
1084,6,2.7,5.1,1.6,versicolor
1085,5.4,3,4.5,1.5,versicolor
1086,6,3.4,4.5,1.6,versicolor
1087,6.7,3.1,4.7,1.5,versicolor
1088,6.3,2.3,4.4,1.3,versicolor
1089,5.6,3,4.1,1.3,versicolor
1090,5.5,2.5,4,1.3,versicolor
1091,5.5,2.6,4.4,1.2,versicolor
1092,6.1,3,4.6,1.4,versicolor
1093,5.8,2.6,4,1.2,versicolor
1094,5,2.3,3.3,1,versicolor
1095,5.6,2.7,4.2,1.3,versicolor
1096,5.7,3,4.2,1.2,versicolor
1097,5.7,2.9,4.2,1.3,versicolor
1098,6.2,2.9,4.3,1.3,versicolor
1099,5.1,2.5,3,1.1,versicolor
1100,5.7,2.8,4.1,1.3,versicolor
1101,6.3,3.3,6,2.5,virginica
1102,5.8,2.7,5.1,1.9,virginica
1103,7.1,3,5.9,2.1,virginica
1104,6.3,2.9,5.6,1.8,virginica
1105,6.5,3,5.8,2.2,virginica
1106,7.6,3,6.6,2.1,virginica
1107,4.9,2.5,4.5,1.7,virginica
1108,7.3,2.9,6.3,1.8,virginica
1109,6.7,2.5,5.8,1.8,virginica
1110,7.2,3.6,6.1,2.5,virginica
1111,6.5,3.2,5.1,2,virginica
1112,6.4,2.7,5.3,1.9,virginica
1113,6.8,3,5.5,2.1,virginica
1114,5.7,2.5,5,2,virginica
1115,5.8,2.8,5.1,2.4,virginica
1116,6.4,3.2,5.3,2.3,virginica
1117,6.5,3,5.5,1.8,virginica
1118,7.7,3.8,6.7,2.2,virginica
1119,7.7,2.6,6.9,2.3,virginica
1120,6,2.2,5,1.5,virginica
1121,6.9,3.2,5.7,2.3,virginica
1122,5.6,2.8,4.9,2,virginica
1123,7.7,2.8,6.7,2,virginica
1124,6.3,2.7,4.9,1.8,virginica
1125,6.7,3.3,5.7,2.1,virginica
1126,7.2,3.2,6,1.8,virginica
1127,6.2,2.8,4.8,1.8,virginica
1128,6.1,3,4.9,1.8,virginica
1129,6.4,2.8,5.6,2.1,virginica
1130,7.2,3,5.8,1.6,virginica
1131,7.4,2.8,6.1,1.9,virginica
1132,7.9,3.8,6.4,2,virginica
1133,6.4,2.8,5.6,2.2,virginica
1134,6.3,2.8,5.1,1.5,virginica
1135,6.1,2.6,5.6,1.4,virginica
1136,7.7,3,6.1,2.3,virginica
1137,6.3,3.4,5.6,2.4,virginica
1138,6.4,3.1,5.5,1.8,virginica
1139,6,3,4.8,1.8,virginica
1140,6.9,3.1,5.4,2.1,virginica
1141,6.7,3.1,5.6,2.4,virginica
1142,6.9,3.1,5.1,2.3,virginica
1143,5.8,2.7,5.1,1.9,virginica
1144,6.8,3.2,5.9,2.3,virginica
1145,6.7,3.3,5.7,2.5,virginica
1146,6.7,3,5.2,2.3,virginica
