age,duration,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
44,210,1.4,93.444,-36.1,4.963,5228.1,1
53,138,-0.1,93.2,-42,4.021,5195.8,1
28,339,-1.7,94.055,-39.8,0.729,4991.6,1
39,185,-1.8,93.075,-47.1,1.405,5099.1,1
55,137,-2.9,92.201,-31.4,0.869,5076.2,1
30,68,1.4,93.918,-42.7,4.961,5228.1,1
37,204,-1.8,92.893,-46.2,1.327,5099.1,1
39,191,-1.8,92.893,-46.2,1.313,5099.1,1
36,174,-2.9,92.963,-40.8,1.266,5076.2,1
27,191,-1.8,93.075,-47.1,1.41,5099.1,1
34,62,1.1,93.994,-36.4,4.864,5191,1
41,789,1.4,93.444,-36.1,4.964,5228.1,1
55,372,1.4,93.444,-36.1,4.965,5228.1,1
33,75,-1.8,92.893,-46.2,1.291,5099.1,1
26,1021,1.4,94.465,-41.8,4.96,5228.1,1
52,117,1.4,93.918,-42.7,4.962,5228.1,1
35,1034,-1.8,93.075,-47.1,1.365,5099.1,1
27,540,-0.1,93.798,-40.4,4.86,5195.8,1
28,140,1.1,93.994,-36.4,4.86,5191,1
26,104,1.4,93.918,-42.7,4.96,5228.1,1
41,246,-1.8,93.075,-47.1,1.405,5099.1,1
35,1114,1.4,94.465,-41.8,4.967,5228.1,1
40,340,1.4,93.918,-42.7,4.963,5228.1,1
32,35,1.4,93.918,-42.7,4.968,5228.1,1
41,241,1.4,93.918,-42.7,4.962,5228.1,1
34,168,-1.8,92.893,-46.2,1.344,5099.1,1
49,81,-3.4,92.431,-26.9,0.754,5017.5,1
37,226,-1.8,93.075,-47.1,1.365,5099.1,1
35,746,-1.8,92.893,-46.2,1.313,5099.1,1
38,41,1.4,93.918,-42.7,4.961,5228.1,1
47,115,1.4,94.465,-41.8,4.961,5228.1,1
46,227,-1.8,92.893,-46.2,1.327,5099.1,1
27,275,-1.8,92.893,-46.2,1.299,5099.1,1
29,365,-2.9,92.963,-40.8,1.268,5076.2,1
32,68,1.4,93.918,-42.7,4.963,5228.1,1
36,54,-1.8,92.893,-46.2,1.334,5099.1,1
29,93,1.4,93.918,-42.7,4.96,5228.1,1
47,267,-1.8,93.075,-47.1,1.405,5099.1,1
44,17,1.4,94.465,-41.8,4.96,5228.1,1
54,121,1.4,93.444,-36.1,4.962,5228.1,1
36,294,1.1,93.994,-36.4,4.86,5191,1
